text,intent
Bugün ne giysem?,kapsam_disi
Hoşça kal,vedalasma
E-devletten Resmi not belgesi alabilir miyim?,transkript
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
yaz okulunda Kurum içi geçiş başvurusu almak istiyorum.,yatay_gecis
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
Günaydın,selamlama
1. sınıflar için Ders ekle-bırak hakkında bilgi ver.,ders_kaydi
Ders atama yardımcı ol.,ders_kaydi
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
güz döneminde MYP ile geçiş başvurusu yapmak istiyorum.,yatay_gecis
1. sınıflar için Ders atama konusunda desteğe ihtiyacım var.,ders_kaydi
Dolar ne kadar oldu?,kapsam_disi
Günaydın,selamlama
SIS üzerinden Ders atama yardımcı ol.,ders_kaydi
türkçe Öğrenci belgesi işlemlerini anlat.,transkript
e-imzalı Not çizelgesi nasıl çıkartılır?,transkript
Transkript belgesine ihtiyacım var.,transkript
1. sınıflar için Ders kaydı konusunda desteğe ihtiyacım var.,ders_kaydi
Merhaba asistan,selamlama
Kendine iyi bak,vedalasma
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
ingilizce Not çizelgesi konusunda desteğe ihtiyacım var.,transkript
Ders atama işlemi yapmak istiyorum.,ders_kaydi
Lütfen Ders atama hakkında bilgi ver.,ders_kaydi
Resmi not belgesi nereden alınır?,transkript
Film önerin var mı?,kapsam_disi
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
SIS üzerinden Ders kaydı konusunda desteğe ihtiyacım var.,ders_kaydi
Ders kaydı işlemi yapmak istiyorum.,ders_kaydi
bugün Bölüm değiştirme başvurusu işlemlerini anlat.,yatay_gecis
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Bölüm değiştirme kontenjanları belli oldu mu?,yatay_gecis
Resmi not belgesi nereden alınır?,transkript
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
acilen Ders seçimi almak istiyorum.,ders_kaydi
Selamlar,selamlama
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Hava durumu nasıl?,kapsam_disi
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Mezuniyet için Not çizelgesi almak istiyorum.,transkript
Kendine iyi bak,vedalasma
SIS üzerinden Kayıt yenileme yardımcı ol.,ders_kaydi
Hoşça kal,vedalasma
Mezuniyet için Transkript yardımcı ol.,transkript
Ders ekle-bırak işlemi yardımcı ol.,ders_kaydi
Kendine iyi bak,vedalasma
Resmi not belgesi belgesine ihtiyacım var.,transkript
Farklı bir bölüme MYP ile geçiş yardımcı ol.,yatay_gecis
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Öğrenci belgesi nereden alınır?,transkript
SIS üzerinden Ders kaydı konusunda desteğe ihtiyacım var.,ders_kaydi
AGNO ile Bölüm değiştirme mümkün mü?,yatay_gecis
Ders ekle-bırak tarihlerini öğrenmek istiyorum.,ders_kaydi
Sonra görüşürüz,vedalasma
bahar döneminde MYP ile geçiş başvurusu işlemlerini anlat.,yatay_gecis
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
Bay bay,vedalasma
SIS üzerinden Ders ekle-bırak işlemlerini anlat.,ders_kaydi
Öğrenci belgesi nereden alınır?,transkript
E-devletten Not çizelgesi alabilir miyim?,transkript
Ders atama konusunda desteğe ihtiyacım var.,ders_kaydi
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
MYP ile geçiş şartları konusunda desteğe ihtiyacım var.,yatay_gecis
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Transkript nereden alınır?,transkript
İstanbul'un nüfusu kaç?,kapsam_disi
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
Farklı bir bölüme Bölüm değiştirme konusunda desteğe ihtiyacım var.,yatay_gecis
Bay bay,vedalasma
Lütfen Ders atama hakkında bilgi ver.,ders_kaydi
Ders seçimi işlemi işlemlerini anlat.,ders_kaydi
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
1. sınıflar için Ders ekle-bırak almak istiyorum.,ders_kaydi
SIS üzerinden Kayıt yenileme yapmak istiyorum.,ders_kaydi
ingilizce Transkript nasıl çıkartılır?,transkript
Selam bot,selamlama
MYP ile geçiş için ortalama kaç olmalı?,yatay_gecis
bugün MYP ile geçiş başvurusu yapmak istiyorum.,yatay_gecis
bahar döneminde Kurum içi geçiş başvurusu hakkında bilgi ver.,yatay_gecis
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Sonra görüşürüz,vedalasma
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Mezuniyet için Öğrenci belgesi almak istiyorum.,transkript
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
Ders seçimi yardımcı ol.,ders_kaydi
Ders atama yapmak istiyorum.,ders_kaydi
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
yarın Ortalama ile geçiş başvurusu almak istiyorum.,yatay_gecis
Merhaba,selamlama
bu dönem MYP ile geçiş başvurusu yapmak istiyorum.,yatay_gecis
Ders ekle-bırak işlemi hakkında bilgi ver.,ders_kaydi
Resmi not belgesi nereden alınır?,transkript
Öğrenci belgesi belgesine ihtiyacım var.,transkript
Yatay geçiş şartları hakkında bilgi ver.,yatay_gecis
Görüşürüz,vedalasma
türkçe Resmi not belgesi hakkında bilgi ver.,transkript
Dolar ne kadar oldu?,kapsam_disi
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Fenerbahçe maçı kaç kaç?,kapsam_disi
Merhaba,selamlama
"Teşekkürler, bay",vedalasma
1. sınıflar için Ders kaydı hakkında bilgi ver.,ders_kaydi
Çıkış yapıyorum,vedalasma
yarın MYP ile geçiş başvurusu işlemlerini anlat.,yatay_gecis
Selamlar,selamlama
MYP ile geçiş şartları almak istiyorum.,yatay_gecis
Kayıt yenileme işlemi almak istiyorum.,ders_kaydi
e-imzalı Resmi not belgesi yapmak istiyorum.,transkript
E-devletten Not dökümü alabilir miyim?,transkript
AGNO ile Bölüm değiştirme mümkün mü?,yatay_gecis
Bye,vedalasma
bu dönem Ders ekle-bırak işlemlerini anlat.,ders_kaydi
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Yatay geçiş şartları almak istiyorum.,yatay_gecis
Kayıt yenileme işlemi yardımcı ol.,ders_kaydi
Çıkış yapıyorum,vedalasma
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
Günaydın,selamlama
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Kurum içi geçiş şartları konusunda desteğe ihtiyacım var.,yatay_gecis
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Bana bir fıkra anlat.,kapsam_disi
gelecek hafta Bölüm değiştirme başvurusu konusunda desteğe ihtiyacım var.,yatay_gecis
bugün Ders kaydı yapmak istiyorum.,ders_kaydi
İyi günler,selamlama
Merhaba asistan,selamlama
1. sınıflar için Ders atama konusunda desteğe ihtiyacım var.,ders_kaydi
Bölüm değiştirme kontenjanları belli oldu mu?,yatay_gecis
Fenerbahçe maçı kaç kaç?,kapsam_disi
bahar döneminde Ders ekle-bırak yapmak istiyorum.,ders_kaydi
Bölüm değiştirme şartları yardımcı ol.,yatay_gecis
Kendine iyi bak,vedalasma
Çıkış yapıyorum,vedalasma
Kurum içi geçiş şartları konusunda desteğe ihtiyacım var.,yatay_gecis
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
Yatay geçiş şartları yardımcı ol.,yatay_gecis
1. sınıflar için Ders ekle-bırak almak istiyorum.,ders_kaydi
acilen Ders kaydı yardımcı ol.,ders_kaydi
onaylı Öğrenci belgesi konusunda desteğe ihtiyacım var.,transkript
Kib,vedalasma
AGNO ile Ortalama ile geçiş mümkün mü?,yatay_gecis
güncel Resmi not belgesi yapmak istiyorum.,transkript
Farklı bir bölüme Bölüm değiştirme yardımcı ol.,yatay_gecis
Bölüm değiştirme şartları yardımcı ol.,yatay_gecis
Farklı bir bölüme MYP ile geçiş yapmak istiyorum.,yatay_gecis
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Selam bot,selamlama
Yemek tarifi ver.,kapsam_disi
Ders seçimi konusunda desteğe ihtiyacım var.,ders_kaydi
Resmi not belgesi belgesine ihtiyacım var.,transkript
Mezuniyet için Transkript hakkında bilgi ver.,transkript
SIS üzerinden Ders seçimi hakkında bilgi ver.,ders_kaydi
MYP ile geçiş için ortalama kaç olmalı?,yatay_gecis
gelecek hafta Ders seçimi konusunda desteğe ihtiyacım var.,ders_kaydi
bahar döneminde Kurum içi geçiş başvurusu almak istiyorum.,yatay_gecis
Ortalama ile geçiş şartları yardımcı ol.,yatay_gecis
İyi günler,selamlama
ingilizce Not çizelgesi nasıl çıkartılır?,transkript
Bye,vedalasma
bu dönem Ortalama ile geçiş başvurusu hakkında bilgi ver.,yatay_gecis
Farklı bir bölüme Yatay geçiş yapmak istiyorum.,yatay_gecis
Dolar ne kadar oldu?,kapsam_disi
Farklı bir bölüme MYP ile geçiş almak istiyorum.,yatay_gecis
Selam bot,selamlama
resmi Transkript yardımcı ol.,transkript
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
güncel Transkript konusunda desteğe ihtiyacım var.,transkript
1. sınıflar için Ders kaydı almak istiyorum.,ders_kaydi
Kurum içi geçiş için ortalama kaç olmalı?,yatay_gecis
Dolar ne kadar oldu?,kapsam_disi
Lütfen Ders atama hakkında bilgi ver.,ders_kaydi
Mezuniyet için Öğrenci belgesi konusunda desteğe ihtiyacım var.,transkript
Bay bay,vedalasma
Farklı bir bölüme MYP ile geçiş hakkında bilgi ver.,yatay_gecis
1. sınıflar için Kayıt yenileme almak istiyorum.,ders_kaydi
Merhabalar,selamlama
Bana bir fıkra anlat.,kapsam_disi
bahar döneminde Ders seçimi hakkında bilgi ver.,ders_kaydi
Merhaba,selamlama
Fenerbahçe maçı kaç kaç?,kapsam_disi
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Selam bot,selamlama
Film önerin var mı?,kapsam_disi
Lütfen Kayıt yenileme hakkında bilgi ver.,ders_kaydi
SIS üzerinden Ders atama hakkında bilgi ver.,ders_kaydi
Merhaba asistan,selamlama
Kurum içi geçiş şartları yapmak istiyorum.,yatay_gecis
onaylı Öğrenci belgesi almak istiyorum.,transkript
Sonra görüşürüz,vedalasma
güncel Öğrenci belgesi nasıl çıkartılır?,transkript
Kurum içi geçiş için ortalama kaç olmalı?,yatay_gecis
Selam bot,selamlama
bahar döneminde Ders seçimi almak istiyorum.,ders_kaydi
Merhaba,selamlama
Öğrenci belgesi nereden alınır?,transkript
1. sınıflar için Ders ekle-bırak konusunda desteğe ihtiyacım var.,ders_kaydi
SIS üzerinden Kayıt yenileme işlemlerini anlat.,ders_kaydi
Farklı bir bölüme Ortalama ile geçiş hakkında bilgi ver.,yatay_gecis
AGNO ile Yatay geçiş mümkün mü?,yatay_gecis
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
1. sınıflar için Ders kaydı yardımcı ol.,ders_kaydi
Bay bay,vedalasma
Selam,selamlama
Ders seçimi hakkında bilgi ver.,ders_kaydi
İyi akşamlar,vedalasma
Kib,vedalasma
Bugün ne giysem?,kapsam_disi
1. sınıflar için Ders atama yardımcı ol.,ders_kaydi
Hoşça kal,vedalasma
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Mezuniyet için Öğrenci belgesi konusunda desteğe ihtiyacım var.,transkript
Ortalama ile geçiş şartları almak istiyorum.,yatay_gecis
türkçe Resmi not belgesi hakkında bilgi ver.,transkript
1. sınıflar için Kayıt yenileme yardımcı ol.,ders_kaydi
Ders atama işlemi yapmak istiyorum.,ders_kaydi
Günaydın,selamlama
güz döneminde Bölüm değiştirme başvurusu işlemlerini anlat.,yatay_gecis
En iyi pizza nerede yenir?,kapsam_disi
İyi günler,selamlama
Kib,vedalasma
Ders seçimi işlemi yardımcı ol.,ders_kaydi
yarın Kayıt yenileme yardımcı ol.,ders_kaydi
Selam,selamlama
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Yatay geçiş için ortalama kaç olmalı?,yatay_gecis
Dolar ne kadar oldu?,kapsam_disi
Çıkış yapıyorum,vedalasma
Merhaba asistan,selamlama
Farklı bir bölüme Kurum içi geçiş yardımcı ol.,yatay_gecis
Farklı bir bölüme MYP ile geçiş yardımcı ol.,yatay_gecis
Selam bot,selamlama
Fenerbahçe maçı kaç kaç?,kapsam_disi
Farklı bir bölüme Bölüm değiştirme almak istiyorum.,yatay_gecis
Bye,vedalasma
1. sınıflar için Ders seçimi işlemlerini anlat.,ders_kaydi
Selam,selamlama
Mezuniyet için Not çizelgesi hakkında bilgi ver.,transkript
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Bugün ne giysem?,kapsam_disi
gelecek hafta Ortalama ile geçiş başvurusu hakkında bilgi ver.,yatay_gecis
Farklı bir bölüme Bölüm değiştirme işlemlerini anlat.,yatay_gecis
Ders atama işlemi yardımcı ol.,ders_kaydi
Merhaba,selamlama
Ders kaydı hakkında bilgi ver.,ders_kaydi
Resmi not belgesi nereden alınır?,transkript
bahar döneminde Ortalama ile geçiş başvurusu hakkında bilgi ver.,yatay_gecis
Transkript belgesine ihtiyacım var.,transkript
Not çizelgesi belgesine ihtiyacım var.,transkript
Yatay geçiş için ortalama kaç olmalı?,yatay_gecis
Kayıt yenileme konusunda desteğe ihtiyacım var.,ders_kaydi
Ders seçimi tarihlerini öğrenmek istiyorum.,ders_kaydi
Ders kaydı işlemi hakkında bilgi ver.,ders_kaydi
Lütfen Ders ekle-bırak hakkında bilgi ver.,ders_kaydi
Kolay gelsin,selamlama
Bölüm değiştirme kontenjanları belli oldu mu?,yatay_gecis
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
türkçe Öğrenci belgesi konusunda desteğe ihtiyacım var.,transkript
Günaydın,selamlama
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Not dökümü nereden alınır?,transkript
Hoşça kal,vedalasma
Günaydın,selamlama
Bye,vedalasma
Sonra görüşürüz,vedalasma
Bölüm değiştirme şartları almak istiyorum.,yatay_gecis
Transkript nereden alınır?,transkript
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Günaydın,selamlama
MYP ile geçiş şartları işlemlerini anlat.,yatay_gecis
1. sınıflar için Ders kaydı yardımcı ol.,ders_kaydi
Selam,selamlama
Hoşça kal,vedalasma
1. sınıflar için Ders seçimi almak istiyorum.,ders_kaydi
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
Mezuniyet için Not dökümü yardımcı ol.,transkript
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
Resmi not belgesi belgesine ihtiyacım var.,transkript
Görüşürüz,vedalasma
Hava durumu nasıl?,kapsam_disi
ingilizce Öğrenci belgesi nasıl çıkartılır?,transkript
Kendine iyi bak,vedalasma
Kendine iyi bak,vedalasma
Kendine iyi bak,vedalasma
resmi Öğrenci belgesi nasıl çıkartılır?,transkript
"Teşekkürler, bay",vedalasma
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Sonra görüşürüz,vedalasma
Fenerbahçe maçı kaç kaç?,kapsam_disi
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
1. sınıflar için Ders seçimi konusunda desteğe ihtiyacım var.,ders_kaydi
Ders atama almak istiyorum.,ders_kaydi
Merhabalar,selamlama
Fenerbahçe maçı kaç kaç?,kapsam_disi
Kayıt yenileme tarihlerini öğrenmek istiyorum.,ders_kaydi
E-devletten Transkript alabilir miyim?,transkript
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
1. sınıflar için Kayıt yenileme almak istiyorum.,ders_kaydi
Görüşürüz,vedalasma
E-devletten Resmi not belgesi alabilir miyim?,transkript
onaylı Not çizelgesi nasıl çıkartılır?,transkript
Not dökümü belgesine ihtiyacım var.,transkript
Ders kaydı işlemlerini anlat.,ders_kaydi
bahar döneminde Kayıt yenileme almak istiyorum.,ders_kaydi
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Kayıt yenileme yardımcı ol.,ders_kaydi
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
Ders atama işlemi işlemlerini anlat.,ders_kaydi
Kendine iyi bak,vedalasma
İyi günler,selamlama
AGNO ile Ortalama ile geçiş mümkün mü?,yatay_gecis
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
gelecek hafta Ders atama konusunda desteğe ihtiyacım var.,ders_kaydi
Günaydın,selamlama
Çıkış yapıyorum,vedalasma
Yatay geçiş şartları almak istiyorum.,yatay_gecis
Not çizelgesi nereden alınır?,transkript
Ders ekle-bırak işlemi yardımcı ol.,ders_kaydi
Yemek tarifi ver.,kapsam_disi
"Teşekkürler, bay",vedalasma
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
acilen Ders kaydı yardımcı ol.,ders_kaydi
Resmi not belgesi nereden alınır?,transkript
Bölüm değiştirme kontenjanları belli oldu mu?,yatay_gecis
Merhabalar,selamlama
1. sınıflar için Ders kaydı almak istiyorum.,ders_kaydi
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
resmi Resmi not belgesi yardımcı ol.,transkript
resmi Not çizelgesi nasıl çıkartılır?,transkript
Bugün ne giysem?,kapsam_disi
türkçe Resmi not belgesi nasıl çıkartılır?,transkript
Çıkış yapıyorum,vedalasma
"Teşekkürler, bay",vedalasma
