text,intent
E-devletten Resmi not belgesi alabilir miyim?,transkript
Farklı bir bölüme Yatay geçiş yapmak istiyorum.,yatay_gecis
Bölüm değiştirme kontenjanları belli oldu mu?,yatay_gecis
Farklı bir bölüme Yatay geçiş hakkında bilgi ver.,yatay_gecis
Ders atama işlemi yapmak istiyorum.,ders_kaydi
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Merhaba asistan,selamlama
acilen Yatay geçiş başvurusu konusunda desteğe ihtiyacım var.,yatay_gecis
Selamlar,selamlama
Ders atama işlemi konusunda desteğe ihtiyacım var.,ders_kaydi
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Not dökümü nereden alınır?,transkript
türkçe Not dökümü yardımcı ol.,transkript
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
Ders seçimi tarihlerini öğrenmek istiyorum.,ders_kaydi
Lütfen Kayıt yenileme hakkında bilgi ver.,ders_kaydi
yarın Ders ekle-bırak yapmak istiyorum.,ders_kaydi
Öğrenci belgesi belgesine ihtiyacım var.,transkript
Sonra görüşürüz,vedalasma
Ders seçimi tarihlerini öğrenmek istiyorum.,ders_kaydi
resmi Not çizelgesi konusunda desteğe ihtiyacım var.,transkript
Bay bay,vedalasma
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Merhaba,selamlama
Merhaba,selamlama
Hava durumu nasıl?,kapsam_disi
AGNO ile Yatay geçiş mümkün mü?,yatay_gecis
Kendine iyi bak,vedalasma
İstanbul'un nüfusu kaç?,kapsam_disi
Hoşça kal,vedalasma
Ders kaydı yardımcı ol.,ders_kaydi
güncel Not dökümü nasıl çıkartılır?,transkript
Ders ekle-bırak tarihlerini öğrenmek istiyorum.,ders_kaydi
Kayıt yenileme tarihlerini öğrenmek istiyorum.,ders_kaydi
E-devletten Not çizelgesi alabilir miyim?,transkript
Farklı bir bölüme Yatay geçiş yardımcı ol.,yatay_gecis
Sonra görüşürüz,vedalasma
En iyi pizza nerede yenir?,kapsam_disi
Hoşça kal,vedalasma
ingilizce Öğrenci belgesi nasıl çıkartılır?,transkript
Fenerbahçe maçı kaç kaç?,kapsam_disi
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
güncel Öğrenci belgesi nasıl çıkartılır?,transkript
Not çizelgesi nereden alınır?,transkript
Mezuniyet için Not çizelgesi konusunda desteğe ihtiyacım var.,transkript
En iyi pizza nerede yenir?,kapsam_disi
Kurum içi geçiş şartları işlemlerini anlat.,yatay_gecis
Not çizelgesi belgesine ihtiyacım var.,transkript
Fenerbahçe maçı kaç kaç?,kapsam_disi
Kayıt yenileme tarihlerini öğrenmek istiyorum.,ders_kaydi
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
Hava durumu nasıl?,kapsam_disi
yarın Ders ekle-bırak işlemlerini anlat.,ders_kaydi
Farklı bir bölüme Yatay geçiş hakkında bilgi ver.,yatay_gecis
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Fenerbahçe maçı kaç kaç?,kapsam_disi
türkçe Öğrenci belgesi nasıl çıkartılır?,transkript
Kib,vedalasma
Yatay geçiş için ortalama kaç olmalı?,yatay_gecis
MYP ile geçiş için ortalama kaç olmalı?,yatay_gecis
Transkript belgesine ihtiyacım var.,transkript
Yemek tarifi ver.,kapsam_disi
1. sınıflar için Ders ekle-bırak işlemlerini anlat.,ders_kaydi
SIS üzerinden Ders ekle-bırak yardımcı ol.,ders_kaydi
Kurum içi geçiş şartları hakkında bilgi ver.,yatay_gecis
Kayıt yenileme yapmak istiyorum.,ders_kaydi
bahar döneminde MYP ile geçiş başvurusu yardımcı ol.,yatay_gecis
İstanbul'un nüfusu kaç?,kapsam_disi
Görüşürüz,vedalasma
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
Hey,selamlama
Ders seçimi hakkında bilgi ver.,ders_kaydi
E-devletten Resmi not belgesi alabilir miyim?,transkript
Kib,vedalasma
Ders kaydı yapmak istiyorum.,ders_kaydi
Kayıt yenileme tarihlerini öğrenmek istiyorum.,ders_kaydi
resmi Not çizelgesi hakkında bilgi ver.,transkript
Not dökümü belgesine ihtiyacım var.,transkript
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Yatay geçiş şartları işlemlerini anlat.,yatay_gecis
E-devletten Öğrenci belgesi alabilir miyim?,transkript
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Python kodu yazabilir misin?,kapsam_disi
Ders ekle-bırak yapmak istiyorum.,ders_kaydi
Bye,vedalasma
SIS üzerinden Ders kaydı yardımcı ol.,ders_kaydi
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Kurum içi geçiş için ortalama kaç olmalı?,yatay_gecis
Kib,vedalasma
e-imzalı Öğrenci belgesi nasıl çıkartılır?,transkript
Selam,selamlama
E-devletten Not çizelgesi alabilir miyim?,transkript
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Farklı bir bölüme Ortalama ile geçiş hakkında bilgi ver.,yatay_gecis
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Selam,selamlama
1. sınıflar için Ders seçimi yapmak istiyorum.,ders_kaydi
Bölüm değiştirme şartları işlemlerini anlat.,yatay_gecis
bu dönem Ders ekle-bırak işlemlerini anlat.,ders_kaydi
Sonra görüşürüz,vedalasma
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Not çizelgesi belgesine ihtiyacım var.,transkript
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Ders kaydı yapmak istiyorum.,ders_kaydi
Mezuniyet için Öğrenci belgesi işlemlerini anlat.,transkript
AGNO ile Bölüm değiştirme mümkün mü?,yatay_gecis
Hava durumu nasıl?,kapsam_disi
e-imzalı Transkript konusunda desteğe ihtiyacım var.,transkript
1. sınıflar için Kayıt yenileme almak istiyorum.,ders_kaydi
Ders seçimi konusunda desteğe ihtiyacım var.,ders_kaydi
Bay bay,vedalasma
resmi Not dökümü yapmak istiyorum.,transkript
bu dönem Kurum içi geçiş başvurusu yapmak istiyorum.,yatay_gecis
E-devletten Öğrenci belgesi alabilir miyim?,transkript
Resmi not belgesi nereden alınır?,transkript
Transkript nereden alınır?,transkript
AGNO ile Ortalama ile geçiş mümkün mü?,yatay_gecis
Mezuniyet için Not çizelgesi almak istiyorum.,transkript
Merhaba,selamlama
güncel Resmi not belgesi nasıl çıkartılır?,transkript
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
onaylı Not çizelgesi nasıl çıkartılır?,transkript
MYP ile geçiş kontenjanları belli oldu mu?,yatay_gecis
Ders seçimi tarihlerini öğrenmek istiyorum.,ders_kaydi
Ders seçimi tarihlerini öğrenmek istiyorum.,ders_kaydi
resmi Resmi not belgesi nasıl çıkartılır?,transkript
Bay bay,vedalasma
Çıkış yapıyorum,vedalasma
İyi günler,selamlama
İyi akşamlar,vedalasma
Yemek tarifi ver.,kapsam_disi
Film önerin var mı?,kapsam_disi
En iyi pizza nerede yenir?,kapsam_disi
E-devletten Not çizelgesi alabilir miyim?,transkript
Kib,vedalasma
Farklı bir bölüme Yatay geçiş işlemlerini anlat.,yatay_gecis
Not dökümü belgesine ihtiyacım var.,transkript
Not çizelgesi nereden alınır?,transkript
Mezuniyet için Not dökümü yapmak istiyorum.,transkript
Ders ekle-bırak tarihlerini öğrenmek istiyorum.,ders_kaydi
1. sınıflar için Ders atama almak istiyorum.,ders_kaydi
Farklı bir bölüme Kurum içi geçiş işlemlerini anlat.,yatay_gecis
e-imzalı Transkript nasıl çıkartılır?,transkript
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Farklı bir bölüme Bölüm değiştirme yapmak istiyorum.,yatay_gecis
Selam,selamlama
Film önerin var mı?,kapsam_disi
ingilizce Öğrenci belgesi yapmak istiyorum.,transkript
En iyi pizza nerede yenir?,kapsam_disi
SIS üzerinden Ders atama almak istiyorum.,ders_kaydi
İyi akşamlar,vedalasma
Görüşürüz,vedalasma
Bugün ne giysem?,kapsam_disi
Ders seçimi işlemi işlemlerini anlat.,ders_kaydi
Kayıt yenileme yardımcı ol.,ders_kaydi
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
Kayıt yenileme işlemi hakkında bilgi ver.,ders_kaydi
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
güz döneminde Ders atama işlemlerini anlat.,ders_kaydi
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Dolar ne kadar oldu?,kapsam_disi
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
Fenerbahçe maçı kaç kaç?,kapsam_disi
Farklı bir bölüme Bölüm değiştirme yapmak istiyorum.,yatay_gecis
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
Not çizelgesi nereden alınır?,transkript
İyi günler,selamlama
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Ortalama ile geçiş şartları konusunda desteğe ihtiyacım var.,yatay_gecis
İstanbul'un nüfusu kaç?,kapsam_disi
gelecek hafta Bölüm değiştirme başvurusu hakkında bilgi ver.,yatay_gecis
Python kodu yazabilir misin?,kapsam_disi
Resmi not belgesi nereden alınır?,transkript
Selamlar,selamlama
ingilizce Öğrenci belgesi konusunda desteğe ihtiyacım var.,transkript
Farklı bir bölüme Bölüm değiştirme işlemlerini anlat.,yatay_gecis
resmi Transkript konusunda desteğe ihtiyacım var.,transkript
Hey,selamlama
Çıkış yapıyorum,vedalasma
acilen Ortalama ile geçiş başvurusu işlemlerini anlat.,yatay_gecis
Hava durumu nasıl?,kapsam_disi
bu dönem Ortalama ile geçiş başvurusu yardımcı ol.,yatay_gecis
Bugün ne giysem?,kapsam_disi
Sonra görüşürüz,vedalasma
Çıkış yapıyorum,vedalasma
Resmi not belgesi nereden alınır?,transkript
Kayıt yenileme tarihlerini öğrenmek istiyorum.,ders_kaydi
İyi günler,selamlama
AGNO ile Ortalama ile geçiş mümkün mü?,yatay_gecis
MYP ile geçiş için ortalama kaç olmalı?,yatay_gecis
Hoşça kal,vedalasma
AGNO ile Yatay geçiş mümkün mü?,yatay_gecis
Mezuniyet için Not çizelgesi yapmak istiyorum.,transkript
Mezuniyet için Öğrenci belgesi almak istiyorum.,transkript
Hava durumu nasıl?,kapsam_disi
Ders ekle-bırak tarihlerini öğrenmek istiyorum.,ders_kaydi
Mezuniyet için Resmi not belgesi yardımcı ol.,transkript
AGNO ile Ortalama ile geçiş mümkün mü?,yatay_gecis
AGNO ile MYP ile geçiş mümkün mü?,yatay_gecis
Yemek tarifi ver.,kapsam_disi
Selam,selamlama
Kib,vedalasma
Yatay geçiş için ortalama kaç olmalı?,yatay_gecis
yaz okulunda MYP ile geçiş başvurusu hakkında bilgi ver.,yatay_gecis
Günaydın,selamlama
onaylı Öğrenci belgesi nasıl çıkartılır?,transkript
Ders seçimi tarihlerini öğrenmek istiyorum.,ders_kaydi
"Teşekkürler, bay",vedalasma
"Teşekkürler, bay",vedalasma
Mezuniyet için Not çizelgesi işlemlerini anlat.,transkript
güz döneminde MYP ile geçiş başvurusu yardımcı ol.,yatay_gecis
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
acilen Kurum içi geçiş başvurusu almak istiyorum.,yatay_gecis
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
bugün Kurum içi geçiş başvurusu konusunda desteğe ihtiyacım var.,yatay_gecis
Görüşürüz,vedalasma
AGNO ile Ortalama ile geçiş mümkün mü?,yatay_gecis
AGNO ile Kurum içi geçiş mümkün mü?,yatay_gecis
Ders seçimi almak istiyorum.,ders_kaydi
Bölüm değiştirme için ortalama kaç olmalı?,yatay_gecis
Selam bot,selamlama
Merhabalar,selamlama
MYP ile geçiş şartları yapmak istiyorum.,yatay_gecis
İyi günler,selamlama
1. sınıflar için Ders atama yapmak istiyorum.,ders_kaydi
Kayıt yenileme işlemi hakkında bilgi ver.,ders_kaydi
Farklı bir bölüme Yatay geçiş yapmak istiyorum.,yatay_gecis
yaz okulunda Ders atama hakkında bilgi ver.,ders_kaydi
ingilizce Not dökümü konusunda desteğe ihtiyacım var.,transkript
E-devletten Resmi not belgesi alabilir miyim?,transkript
1. sınıflar için Ders kaydı işlemlerini anlat.,ders_kaydi
Fenerbahçe maçı kaç kaç?,kapsam_disi
Transkript belgesine ihtiyacım var.,transkript
türkçe Resmi not belgesi nasıl çıkartılır?,transkript
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Not çizelgesi nereden alınır?,transkript
Ders kaydı işlemi işlemlerini anlat.,ders_kaydi
Farklı bir bölüme MYP ile geçiş almak istiyorum.,yatay_gecis
Selamlar,selamlama
Hey,selamlama
ingilizce Not çizelgesi nasıl çıkartılır?,transkript
resmi Not dökümü hakkında bilgi ver.,transkript
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
Kayıt yenileme tarihlerini öğrenmek istiyorum.,ders_kaydi
Selam bot,selamlama
Fenerbahçe maçı kaç kaç?,kapsam_disi
Günaydın,selamlama
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Ders atama işlemi hakkında bilgi ver.,ders_kaydi
E-devletten Öğrenci belgesi alabilir miyim?,transkript
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Dolar ne kadar oldu?,kapsam_disi
E-devletten Öğrenci belgesi alabilir miyim?,transkript
Bölüm değiştirme şartları konusunda desteğe ihtiyacım var.,yatay_gecis
Film önerin var mı?,kapsam_disi
1. sınıflar için Ders atama hakkında bilgi ver.,ders_kaydi
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Film önerin var mı?,kapsam_disi
Transkript nereden alınır?,transkript
Mezuniyet için Not çizelgesi almak istiyorum.,transkript
Hava durumu nasıl?,kapsam_disi
Günaydın,selamlama
İyi akşamlar,vedalasma
Mezuniyet için Resmi not belgesi konusunda desteğe ihtiyacım var.,transkript
Ders atama yapmak istiyorum.,ders_kaydi
1. sınıflar için Ders ekle-bırak almak istiyorum.,ders_kaydi
Ders seçimi yapmak istiyorum.,ders_kaydi
En iyi pizza nerede yenir?,kapsam_disi
Ders kaydı tarihlerini öğrenmek istiyorum.,ders_kaydi
Hey,selamlama
Lütfen Ders atama hakkında bilgi ver.,ders_kaydi
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Yatay geçiş şartları konusunda desteğe ihtiyacım var.,yatay_gecis
AGNO ile Yatay geçiş mümkün mü?,yatay_gecis
Fenerbahçe maçı kaç kaç?,kapsam_disi
Sonra görüşürüz,vedalasma
Ders atama işlemi almak istiyorum.,ders_kaydi
bu dönem MYP ile geçiş başvurusu yapmak istiyorum.,yatay_gecis
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
Not çizelgesi belgesine ihtiyacım var.,transkript
1. sınıflar için Ders atama konusunda desteğe ihtiyacım var.,ders_kaydi
gelecek hafta MYP ile geçiş başvurusu yardımcı ol.,yatay_gecis
Çıkış yapıyorum,vedalasma
türkçe Not dökümü nasıl çıkartılır?,transkript
Öğrenci belgesi belgesine ihtiyacım var.,transkript
Kolay gelsin,selamlama
SIS üzerinden Ders ekle-bırak yapmak istiyorum.,ders_kaydi
Selam bot,selamlama
Selamlar,selamlama
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Ortalama ile geçiş kontenjanları belli oldu mu?,yatay_gecis
1. sınıflar için Ders seçimi yapmak istiyorum.,ders_kaydi
Kurum içi geçiş kontenjanları belli oldu mu?,yatay_gecis
MYP ile geçiş için ortalama kaç olmalı?,yatay_gecis
Ders seçimi tarihlerini öğrenmek istiyorum.,ders_kaydi
Fenerbahçe maçı kaç kaç?,kapsam_disi
Ders ekle-bırak tarihlerini öğrenmek istiyorum.,ders_kaydi
Ders ekle-bırak yapmak istiyorum.,ders_kaydi
e-imzalı Öğrenci belgesi yapmak istiyorum.,transkript
yaz okulunda Ortalama ile geçiş başvurusu yapmak istiyorum.,yatay_gecis
AGNO ile Ortalama ile geçiş mümkün mü?,yatay_gecis
Dolar ne kadar oldu?,kapsam_disi
Yatay geçiş şartları işlemlerini anlat.,yatay_gecis
Lütfen Ders atama hakkında bilgi ver.,ders_kaydi
Ders atama tarihlerini öğrenmek istiyorum.,ders_kaydi
İyi günler,selamlama
gelecek hafta Yatay geçiş başvurusu işlemlerini anlat.,yatay_gecis
Mezuniyet için Transkript almak istiyorum.,transkript
bugün Yatay geçiş başvurusu hakkında bilgi ver.,yatay_gecis
Lütfen Ders kaydı hakkında bilgi ver.,ders_kaydi
Bölüm değiştirme şartları konusunda desteğe ihtiyacım var.,yatay_gecis
Kib,vedalasma
bahar döneminde Bölüm değiştirme başvurusu hakkında bilgi ver.,yatay_gecis
bahar döneminde Yatay geçiş başvurusu yardımcı ol.,yatay_gecis
Lütfen Ders seçimi hakkında bilgi ver.,ders_kaydi
Selam,selamlama
Ortalama ile geçiş için ortalama kaç olmalı?,yatay_gecis
Farklı bir bölüme Ortalama ile geçiş işlemlerini anlat.,yatay_gecis
Kayıt yenileme tarihlerini öğrenmek istiyorum.,ders_kaydi
"Teşekkürler, bay",vedalasma
Ortalama ile geçiş şartları almak istiyorum.,yatay_gecis
ingilizce Not çizelgesi nasıl çıkartılır?,transkript
Ortalama ile geçiş şartları yapmak istiyorum.,yatay_gecis
E-devletten Transkript alabilir miyim?,transkript
Bölüm değiştirme şartları almak istiyorum.,yatay_gecis
